"State","Total.Population","Occupation","Gender","Number","Total.Employed","Area.Name"
"Kansas",364399,"Trade","Female",26,186770,"Kansas"
"Kentucky",1321011,"Trade","Female",331,595798,"Kentucky"
"Louisiana",726915,"Trade","Female",335,307711,"Louisiana"
"Maine",626915,"Trade","Female",235,363355,"Maine"
"Maryland",780894,"Trade","Female",975,363978,"Maryland"
"Massachusetts",1457351,"Trade","Female",2001,867226,"Massachusetts"
"Michigan",1184059,"Trade","Female",95,668008,"Michigan"
"Minnesota",439706,"Trade","Female",23,229418,"Minnesota"
"Mississippi",827922,"Trade","Female",72,357991,"Mississippi"
"Missouri",1721295,"Trade","Female",302,829896,"Missouri"
"Montana Territory",20595,"Trade","Female",1,14967,"Montana"
"Nebraska",122993,"Trade","Female",5,61785,"Nebraska"
"Nevada",42491,"Trade","Female",0,29803,"Nevada"
"New Hampshire",318300,"Trade","Female",388,185992,"New Hampshire"
"New Jersey",906096,"Trade","Female",964,454121,"New Jersey"
"New Mexico Territory",91874,"Trade","Female",0,31241,"New Mexico"
"New York",4382759,"Trade","Female",4792,2337763,"New York"
"North Carolina",1071361,"Trade","Female",85,416586,"North Carolina"
"Ohio",2665260,"Trade","Female",857,1486513,"Ohio"
"Oregon",90923,"Trade","Female",8,48728,"Oregon"
"Pennsylvania",3521951,"Trade","Female",4539,1745543,"Pennsylvania"
"Rhode Island",217353,"Trade","Female",230,123484,"Rhode Island"
"South Carolina",705606,"Trade","Female",220,304866,"South Carolina"
"Tennessee",1258520,"Trade","Female",93,488692,"Tennessee"
"Texas",818579,"Trade","Female",36,302325,"Texas"
"Utah Territory",86786,"Trade","Female",17,36142,"Utah"
"Vermont",330551,"Trade","Female",31,178962,"Vermont"
"Virginia",1225163,"Trade","Female",189,483505,"Virginia"
"Washington Territory",23955,"Trade","Female",2,13292,"Washington"
"West Virginia",442014,"Trade","Female",9,197422,"West Virginia"
"Wisconsin",1054670,"Trade","Female",192,553410,"Wisconsin"
"Wyoming Territory",9118,"Trade","Female",0,7009,"Wyoming"
"Alabama",996992,"Service","Male",19449,442397,"Alabama"
"Arizona Territory",9658,"Service","Male",2979,6179,"Arizona"
"Arkansas",484471,"Service","Male",8018,198521,"Arkansas"
"California",560247,"Service","Male",65150,329651,"California"
"Colorado Territory",39864,"Service","Male",3245,20199,"Colorado"
"Connecticut",537454,"Service","Male",21150,293053,"Connecticut"
"Dakota Territory",14181,"Service","Male",2562,7015,"Dakota"
"Delaware",125015,"Service","Male",6615,60278,"Delaware"
"District of Columbia",131700,"Service","Male",17927,68982,"District of Columbia"
"Florida",187748,"Service","Male",6892,73481,"Florida"
"Georgia",1184109,"Service","Male",27435,522171,"Georgia"
"Idaho Territory",14999,"Service","Male",1310,11345,"Idaho"
"Illinois",2539891,"Service","Male",99337,1290236,"Illinois"
"Indiana",1680637,"Service","Male",53466,854598,"Indiana"
"Iowa",1194020,"Service","Male",38531,650627,"Iowa"
"Kansas",364399,"Service","Male",15286,186770,"Kansas"
"Kentucky",1321011,"Service","Male",41974,595798,"Kentucky"
"Louisiana",726915,"Service","Male",36883,307711,"Louisiana"
"Maine",626915,"Service","Male",20683,363355,"Maine"
"Maryland",780894,"Service","Male",43278,363978,"Maryland"
"Massachusetts",1457351,"Service","Male",75917,867226,"Massachusetts"
"Michigan",1184059,"Service","Male",52754,668008,"Michigan"
"Minnesota",439706,"Service","Male",18920,229418,"Minnesota"
"Mississippi",827922,"Service","Male",20430,357991,"Mississippi"
"Missouri",1721295,"Service","Male",75079,829896,"Missouri"
"Montana Territory",20595,"Service","Male",2515,14967,"Montana"
"Nebraska",122993,"Service","Male",8667,61785,"Nebraska"
"Nevada",42491,"Service","Male",7152,29803,"Nevada"
"New Hampshire",318300,"Service","Male",8821,185992,"New Hampshire"
"New Jersey",906096,"Service","Male",54275,454121,"New Jersey"
"New Mexico Territory",91874,"Service","Male",5542,31241,"New Mexico"
"New York",4382759,"Service","Male",233569,2337763,"New York"
"North Carolina",1071361,"Service","Male",23073,416586,"North Carolina"
"Ohio",2665260,"Service","Male",104018,1486513,"Ohio"
"Oregon",90923,"Service","Male",5522,48728,"Oregon"
"Pennsylvania",3521951,"Service","Male",192674,1745543,"Pennsylvania"
"Rhode Island",217353,"Service","Male",12349,123484,"Rhode Island"
"South Carolina",705606,"Service","Male",15526,304866,"South Carolina"
"Tennessee",1258520,"Service","Male",30077,488692,"Tennessee"
"Texas",818579,"Service","Male",27168,302325,"Texas"
"Utah Territory",86786,"Service","Male",4384,36142,"Utah"
"Vermont",330551,"Service","Male",9680,178962,"Vermont"
"Virginia",1225163,"Service","Male",45407,483505,"Virginia"
"Washington Territory",23955,"Service","Male",2000,13292,"Washington"
"West Virginia",442014,"Service","Male",9636,197422,"West Virginia"
"Wisconsin",1054670,"Service","Male",37898,553410,"Wisconsin"
"Wyoming Territory",9118,"Service","Male",2898,7009,"Wyoming"
"Alabama",996992,"Service","Female",22676,442397,"Alabama"
"Arizona Territory",9658,"Service","Female",136,6179,"Arizona"
"Arkansas",484471,"Service","Female",6859,198521,"Arkansas"
"California",560247,"Service","Female",10962,329651,"California"
"Colorado Territory",39864,"Service","Female",380,20199,"Colorado"
"Connecticut",537454,"Service","Female",17554,293053,"Connecticut"
"Dakota Territory",14181,"Service","Female",142,7015,"Dakota"
"Delaware",125015,"Service","Female",4774,60278,"Delaware"
"District of Columbia",131700,"Service","Female",11918,68982,"District of Columbia"
"Florida",187748,"Service","Female",4005,73481,"Florida"
"Georgia",1184109,"Service","Female",36648,522171,"Georgia"
"Idaho Territory",14999,"Service","Female",113,11345,"Idaho"
"Illinois",2539891,"Service","Female",52594,1290236,"Illinois"
"Indiana",1680637,"Service","Female",26552,854598,"Indiana"
